Los valores del polinomio y su derivada son:
f(x)=(1)x^5+(1)x^4+(1)x^3+(1)x^2+(1)x^1+(1)
num		f(x)		f(x)'
-5		-2604.000000		2691.000000
-4		-819.000000		1065.000000
-3		-182.000000		319.000000
-2		-21.000000		57.000000
-1		0.000000		3.000000
0		1.000000		1.000000
1		6.000000		15.000000
2		63.000000		129.000000
3		364.000000		547.000000
4		1365.000000		1593.000000
5		3906.000000		3711.000000
6		9331.000000		7465.000000
7		19608.000000		13539.000000
8		37449.000000		22737.000000
9		66430.000000		35983.000000
10		111111.000000		54321.000000
11		177156.000000		78915.000000
12		271453.000000		111049.000000
13		402234.000000		152127.000000
14		579195.000000		203673.000000
15		813616.000000		267331.000000
