EDAD;TRABAJA;GASTO;SEXO
20;0;30,50;H
21;1;40,00;H
20;0;40,00;M
22;1;30,50;M
20;0;70,00;H
23;1;55,00;H
20;0;40,00;M
22;0;26,50;H
21;0;26,50;H
20;0;68,20;H
20;0;68,20;M
21;0;30,50;H
20;0;50,00;M
18;0;20,00;M
22;1;30,50;M
22;0;20,00;M
20;0;50,00;H
20;0;27,00;M
20;0;49,00;M
20;0;35,60;M
21;0;10,50;M
21;1;32,80;M
22;1;55,00;M
22;0;57,90;M
20;1;44,50;M
22;0;30,70;M
21;0;40,30;H
20;0;27,00;M
21;1;0,00;M
21;0;50,00;M
21;1;44,90;M
21;1;17,00;M
23;0;19,00;H
20;0;20,00;M
26;1;71,40;H
22;0;6,00;M
19;0;58,00;M
27;1;55,50;M
18;0;30,50;M
21;1;49,00;M
21;0;49,00;H
20;1;49,00;M
20;0;26,50;H
23;1;16,25;H
27;1;3,50;M
22;0;26,25;H
19;0;49,00;M
21;1;49,00;H
18;0;16,50;M
24;1;55,50;H
21;0;27,00;M
23;1;50,20;M
23;0;65,00;H
20;1;40,00;H
21;1;34,00;H
18;0;20,00;M
20;0;30,50;H
21;1;31,70;M
21;1;30,50;M
