"","platform","year_of_release","genre","publisher","global_sales","critic_score","rating","developer","name","na_sales","eu_sales","jp_sales","other_sales","critic_count","user_score","user_count"
"1","Wii",2006,"Sports","Nintendo",82.53,76,"E","Nintendo","Wii Sports",41.36,28.96,3.77,8.45,51,8,322
"2","NES",1985,"Platform","Nintendo",40.24,NA,NA,NA,"Super Mario Bros.",29.08,3.58,6.81,0.77,NA,NA,NA
"3","Wii",2008,"Racing","Nintendo",35.52,82,"E","Nintendo","Mario Kart Wii",15.68,12.76,3.79,3.29,73,8.3,709
"4","Wii",2009,"Sports","Nintendo",32.77,80,"E","Nintendo","Wii Sports Resort",15.61,10.93,3.28,2.95,73,8,192
"5","GB",1996,"Role-Playing","Nintendo",31.37,NA,NA,NA,"Pokemon Red/Pokemon Blue",11.27,8.89,10.22,1,NA,NA,NA
"6","GB",1989,"Puzzle","Nintendo",30.26,NA,NA,NA,"Tetris",23.2,2.26,4.22,0.58,NA,NA,NA
"7","DS",2006,"Platform","Nintendo",29.8,89,"E","Nintendo","New Super Mario Bros.",11.28,9.14,6.5,2.88,65,8.5,431
"8","Wii",2006,"Misc","Nintendo",28.92,58,"E","Nintendo","Wii Play",13.96,9.18,2.93,2.84,41,6.6,129
"9","Wii",2009,"Platform","Nintendo",28.32,87,"E","Nintendo","New Super Mario Bros. Wii",14.44,6.94,4.7,2.24,80,8.4,594
"10","NES",1984,"Shooter","Nintendo",28.31,NA,NA,NA,"Duck Hunt",26.93,0.63,0.28,0.47,NA,NA,NA
"11","DS",2005,"Simulation","Nintendo",24.67,NA,NA,NA,"Nintendogs",9.05,10.95,1.93,2.74,NA,NA,NA
"12","DS",2005,"Racing","Nintendo",23.21,91,"E","Nintendo","Mario Kart DS",9.71,7.47,4.13,1.9,64,8.6,464
"13","GB",1999,"Role-Playing","Nintendo",23.1,NA,NA,NA,"Pokemon Gold/Pokemon Silver",9,6.18,7.2,0.71,NA,NA,NA
"14","Wii",2007,"Sports","Nintendo",22.7,80,"E","Nintendo","Wii Fit",8.92,8.03,3.6,2.15,63,7.7,146
"15","X360",2010,"Misc","Microsoft Game Studios",21.81,61,"E","Good Science Studio","Kinect Adventures!",15,4.89,0.24,1.69,45,6.3,106
"16","Wii",2009,"Sports","Nintendo",21.79,80,"E","Nintendo","Wii Fit Plus",9.01,8.49,2.53,1.77,33,7.4,52
"17","PS3",2013,"Action","Take-Two Interactive",21.04,97,"M","Rockstar North","Grand Theft Auto V",7.02,9.09,0.98,3.96,50,8.2,3994
"18","PS2",2004,"Action","Take-Two Interactive",20.81,95,"M","Rockstar North","Grand Theft Auto: San Andreas",9.43,0.4,0.41,10.57,80,9,1588
"19","SNES",1990,"Platform","Nintendo",20.61,NA,NA,NA,"Super Mario World",12.78,3.75,3.54,0.55,NA,NA,NA
"20","DS",2005,"Misc","Nintendo",20.15,77,"E","Nintendo","Brain Age: Train Your Brain in Minutes a Day",4.74,9.2,4.16,2.04,58,7.9,50
"21","DS",2006,"Role-Playing","Nintendo",18.25,NA,NA,NA,"Pokemon Diamond/Pokemon Pearl",6.38,4.46,6.04,1.36,NA,NA,NA
"22","GB",1989,"Platform","Nintendo",18.14,NA,NA,NA,"Super Mario Land",10.83,2.71,4.18,0.42,NA,NA,NA
"23","NES",1988,"Platform","Nintendo",17.28,NA,NA,NA,"Super Mario Bros. 3",9.54,3.44,3.84,0.46,NA,NA,NA
"24","X360",2013,"Action","Take-Two Interactive",16.27,97,"M","Rockstar North","Grand Theft Auto V",9.66,5.14,0.06,1.41,58,8.1,3711
"25","PS2",2002,"Action","Take-Two Interactive",16.15,95,"M","Rockstar North","Grand Theft Auto: Vice City",8.41,5.49,0.47,1.78,62,8.7,730
"26","GBA",2002,"Role-Playing","Nintendo",15.85,NA,NA,NA,"Pokemon Ruby/Pokemon Sapphire",6.06,3.9,5.38,0.5,NA,NA,NA
"27","DS",2005,"Puzzle","Nintendo",15.29,77,"E","Nintendo","Brain Age 2: More Training in Minutes a Day",3.43,5.35,5.32,1.18,37,7.1,19
"28","DS",2010,"Role-Playing","Nintendo",15.14,NA,NA,NA,"Pokemon Black/Pokemon White",5.51,3.17,5.65,0.8,NA,NA,NA
